Metric;Static (S) or Temporal (T) Data Layer, or Not Available/Applicable (NA);Pressure (P), State(S), Response (R), Benefit (B) ;Top-down (T), Bottom-up (B), Neither (0), Unknown (U) [State metrics only];Significance (S), Intactness (I), Neither (0), Unknown (U) [State metrics only];Realm;Composition;Function;Structure;Biosfere level;Ecosystem level;Community level;Species level;Functional group level;Individual level;Genome level;Chromosome level;Gene level;Enzyme level;Type of organism;Business Use
Global Annual Gross Tree Cover Loss (Ha);NA;S,P;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Global Assessment of Human-induced Soil Degradation (GLASOD);S;S,P;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Global Biomass Carbon Map for the Year 2000;S;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Global Distribution of Earthworm Diversity;S;S;T;0;Terrestrial;1;0;0;1;1;1;0;0;0;0;0;0;0;Animal;N
Global distribution of soil phosphorus retention potential;S;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Not applies;N
Global Ecological Zones;S;S;T;0;Terrestrial Freshwater ;0;0;1;1;0;0;0;0;0;0;0;0;0;Not applies;N
Global Ecosystem Restoration Index;T;S,R;T;I;Terrestrial;0;1;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Global Forest Biomass;S;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Global Forest Change;T;S;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Global Forest Cover - Gain (2000-2012);T;S;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Global Forest Cover - Year of Loss (2000-2019);T;S,P;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Global Forest Watch: Forest Biodiversity Importance;S;S;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants Animals ;N
Global Forest Watch: Forest Biodiversity Intactness;S;S;B;I;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants Animals ;N
Global Gridded Surfaces of Selected Soil Characteristics (IGBP-DIS);S;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Global Intertidal Change;T;S;B;I;Marine Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;N
Global Land Cover 2000 (GLC 2000);S;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Global Land Cover FCS30 - 2020;S;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Global Land Productivity Dynamic Dataset Product;S;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Global Mangrove Height and Biomass Index (NASA);S;S;B;0;Marine Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Global Mangrove Soil Carbon;S;S;B;0;Marine Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Global Map of Canopy Height;S;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Global Map of Phylogenetic Diversity;S;S;B;S;Terrestrial and Marine;1;0;0;1;1;0;0;0;0;0;0;0;0;Animal;N
Global maps of Above-ground Biomass (AGB) from four epochs adjusted for map bias.;T;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Global PALSAR-2/PALSAR Forest/Non-Forest Map 2015-2021;T;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Global Patterns and Drivers of Bee Distribution;S;S;B;0;Terrestrial;1;0;0;1;1;1;0;0;0;0;0;0;0;Animal;N
Global patterns and predictors of soil microbial biomass carbon, nitrogen, and phosphorus in terrestrial ecosystems;S;S;T;0;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Microbes;N
Global Register of Migratory Species (GROMS);S;S;B;0;Terrestrial Marine Freshwater;1;0;0;1;1;1;1;0;0;0;0;0;0;Animal;N
Global saltmarsh extent;S;S;B;0;Terrestrial;0;0;1;1;0;0;0;0;0;0;0;0;0;Not applies;N
Global Soil Biodiversity map;S;S;B;0;Terrestrial;0;1;0;1;0;0;0;0;0;0;0;0;0;Microbes;N
Global spatial dataset of mangrove genus distribution in seaward and riverine margins.;S;S;B;0;Terrestrial and Marine;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Global stocks of Irrecoverable Carbon;NA;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Not applies;N
Global terrestrial net primary productivity trends (gC/m2/yr) from 2000 to 2009;S;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Global trends in mangrove forest fragmentation;T;S;B;I;Terrestrial and Marine;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Global Vegetation Health Products - Vegetation Health Index;T;S,P;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Global Wetlands (1993);S;S;B;0;Terrestrial Freshwater ;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;N
Global Wetlands: Tropical and Subtropical Wetlands Distribution;S;S;B;0;Terrestrial Freshwater ;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;N
Global Wilderness;S;S;B;I;Terrestrial;0;1;1;1;1;0;0;0;0;0;0;0;0;Plants Animals ;N
GlobBiomass global above-ground biomass and growing stock volume datasets;S;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
GlobCover 2005, 2009;T;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
GlobeLand30;T;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
GLOSIS - Global Soil Organic Carbon;S;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Gross ecosystem product (GEP);NA;S;T;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Gross primary productivity;NA;S;T;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
High Biodiversity Wilderness Areas (HBWAs);S;S;T;S,I;Terrestrial;1;0;0;0;1;0;0;0;0;0;0;0;0;Plants and animals;N
HILDA, HIstoric Land Dynamics Assessment + Global Land Use Change between 1960 and 2019;T;S;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Historical (1901-1920), contemporary (1979-2013), and future (2061-2080) terrestrial life zones;T;S;T;I;Terrestrial;1;0;0;1;0;0;0;0;0;0;0;0;0;Not applies;N
ICESat-2 Boreal Biomass 2020 Map;T;S;B;0;Terrestrial;0;1;0;0;1;0;0;0;0;0;0;0;0;Plants;N
ICRAF-ISRIC Global VNIR Soil Spectral Library;S;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;N
IFC PS6 Global Critical Habitat Screening Layer;S;S;B;S;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Red list species;N
IFC PS6 Natural and Modified Habitat Screening Layer;S;S,P;T;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;Y
Important Bird Areas (IBAs);S;S;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Birds;N
"In situ and ex situ records-based index of within-species genetic diversity
";NA;S;B;0;Terrestrial Marine Freshwater;1;0;0;0;0;0;1;0;0;0;0;1;0;Plants Animals ;N
Intact Forest Landscapes (IFLs);T;S;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Internationally Important Wetlands;T;S;B;S;Terrestrial and Marine;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;N
IUCN Green List;T;S;B;I;Terrestrial Marine Freshwater;1;0;0;0;1;0;0;0;0;0;0;0;0;Not applies;N
IUCN Rarity-Weighted Richness;S;S;B;S;Terrestrial Marine Freshwater;1;0;0;0;1;0;0;0;0;0;0;0;0;Plants Animals ;Y
IUCN Rarity-Weighted Richness Amphibians;S;S;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants Animals ;N
IUCN Rarity-Weighted Richness Birds;S;S;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Birds;N
IUCN Rarity-Weighted Richness Combined;S;S;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants and animals;N
IUCN Rarity-Weighted Richness Mammals;S;S;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Mammals;N
IUCN Rarity-Weighted Richness Reptiles;S;S;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Reptiles;N
IUCN Species Richness;S;S;B;0;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants Animals ;N
IUCN Species Richness Amphibians;S;S;B;0;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Amphibians;N
IUCN Species Richness Birds;S;S;B;0;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Birds;N
IUCN Species Richness Mammals;S;S;B;0;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Mammals;N
IUCN Species Richness Reptiles;S;S;B;0;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Reptiles;N
IUCN Threatened Species Richness;S;S,P;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants Animals ;N
IUCN Threatened Species Richness Amphibians;S;S,P;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Amphibians;N
IUCN Threatened Species Richness Birds;S;S,P;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Birds;N
IUCN Threatened Species Richness Combined;S;S,P;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants Animals ;N
IUCN Threatened Species Richness Mammals;S;S,P;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Mammals;N
IUCN Threatened Species Richness Reptiles;S;S,P;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Reptiles;N
JPL 2020 Global Biomass Dataset;T;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Karst Regions of the World (KROW);S;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Not applies;N
Key Biodiversity Areas;S;S;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants Animals ;N
Land degradation in global arable lands;S;S,P,B;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Last of the Wilds (1993);S;S;T;I;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Last of the Wilds (2009);S;S;T;I;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants;N
LBI (Long Term Biodiversity index) ;S;S;B;I;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants Animals ;Y
Live Cover via Vegetation Continuous Fields;T;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Live Vegetation Biomass Carbon for the 21st Century (2000-2019);T;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Living Planet Index (LPI);T;S;B;I;Terrestrial Marine Freshwater;1;0;0;1;1;1;1;1;0;0;0;0;0;Animal;N
Living Planet Index (LPI) - Forest Specialists;T;S;B;I;Terrestrial;1;0;0;1;1;1;1;1;0;0;0;0;0;Animal;N
Living Planet Index (LPI) for utilised species;T;S,P;B;I;Terrestrial Marine Freshwater;1;0;0;1;1;1;1;1;0;0;0;0;0;Animal;N
